Input	Input Type	MGI Gene/Marker ID	Chr	Strand	Start	End
Thy1	current symbol	MGI:98747	9	+	44043384	44048579
Blnk	current symbol	MGI:96878	19	-	40928927	40994535
Gapdhs	current symbol	MGI:95653	7	-	30729775	30743681
Klrb1	human symbol	MGI:107538	6	-	128778485	128789215
Klrb1	human symbol	MGI:107539	6	-	128813706	128826331
Klrb1	human symbol	MGI:107540	6	-	128609227	128622934
Klrb1	current symbol	MGI:96877	6	-	128705836	128723059
Cd47	current symbol	MGI:96617	16	+	49855618	49915010
Mucl1	current symbol	MGI:98393	15	-	103753607	103755437
Gart	current symbol	MGI:95654	16	-	91621186	91646952
Timp1	current symbol	MGI:98752	X	+	20870166	20874735
Mucl2	current symbol	MGI:98392	15	-	103895859	103899309
Timp2	current symbol	MGI:98753	11	-	118301069	118355740
Timp3	current symbol	MGI:98754	10	+	86300372	86349506
Rab3a	current symbol	MGI:97843	8	+	70754679	70758677
Por	human synonym	MGI:106915	14	+	21831269	21845879
Por	rat synonym	MGI:1924182	7	-	105634203	105640416
Por	current symbol	MGI:97744	5	+	135670033	135735326
Kcna1	current symbol	MGI:96654	6	-	126640397	126646384
Kcna1	western clawed frog symbol	MGI:96660	3	+	107036169	107038070
Atf4	current symbol	MGI:88096	15	+	80255184	80257540
Tjp1	current symbol	MGI:98759	7	-	65296165	65371239
Endou	current symbol	MGI:97746	15	-	97711019	97731405
Spp1	human synonym	MGI:1921572	18	+	74216131	74221491
Spp1	synonym	MGI:2135760	12	-	75714248	75735729
Spp1	current symbol	MGI:98389	5	+	104435118	104441050
Tk1	current symbol	MGI:98763	11	-	117815526	117826092
Apoc4	current symbol	MGI:87878	7	-	19678094	19681416
Sptbn1	current symbol	MGI:98388	11	-	30099395	30268175
Cdk4	current symbol	MGI:88357	10	+	127063534	127067920
Pparg	current symbol	MGI:97747	6	+	115360951	115490399
Sptb	current symbol	MGI:98387	12	-	76580488	76710547
Sptb	zebrafish symbol	MGI:98388	11	-	30099395	30268175
Htt	current symbol	MGI:96067	5	+	34761740	34912534
Htt	old symbol	MGI:96285	11	+	76998603	77032340
Sptan1	current symbol	MGI:98386	2	+	29965560	30031451
Spta1	current symbol	MGI:98385	1	+	174172776	174248450
Tlx1	current symbol	MGI:98769	19	+	45150680	45156943
Ctsa	current symbol	MGI:97748	2	+	164832873	164841032
Gas1	current symbol	MGI:95655	13	-	60174405	60177365
